rht-business |192.168.0.112 |2023-07-12 10:29:43.478 |  INFO | xxl-job, executor TriggerCallbackThread | com.xxl.job.core.thread.TriggerCallbackThread$1 : 98 | >>>>>>>>>>> xxl-job, executor callback thread destroy.
rht-business |192.168.0.112 |2023-07-12 10:29:43.479 |  INFO | Thread-22 | com.xxl.job.core.thread.TriggerCallbackThread$2 : 128 | >>>>>>>>>>> xxl-job, executor retry callback thread destroy.
rht-business |192.168.0.112 |2023-07-12 10:29:43.481 |  INFO | SpringContextShutdownHook | org.springframework.scheduling.concurrent.ExecutorConfigurationSupport : 208 | Shutting down ExecutorService 'taskScheduler'
rht-business |192.168.0.112 |2023-07-12 10:29:43.536 |  INFO | SpringContextShutdownHook | com.zaxxer.hikari.HikariDataSource : 350 | HikariPool-1 - Shutdown initiated...
rht-business |192.168.0.112 |2023-07-12 10:29:43.545 |  INFO | SpringContextShutdownHook | com.zaxxer.hikari.HikariDataSource : 352 | HikariPool-1 - Shutdown completed.
rht-business |192.168.0.112 |2023-07-12 10:29:43.546 |  INFO | SpringContextShutdownHook | org.springframework.integration.monitor.IntegrationMBeanExporter : 502 | Summary on shutdown: bean 'errorChannel'
rht-business |192.168.0.112 |2023-07-12 10:29:43.546 |  INFO | SpringContextShutdownHook | org.springframework.integration.monitor.IntegrationMBeanExporter : 502 | Summary on shutdown: nullChannel
rht-business |192.168.0.112 |2023-07-12 10:29:43.546 |  INFO | SpringContextShutdownHook | org.springframework.integration.monitor.IntegrationMBeanExporter : 505 | Summary on shutdown: bean '_org.springframework.integration.errorLogger.handler' for component '_org.springframework.integration.errorLogger'
rht-business |192.168.0.112 |2023-07-12 10:29:43.549 |  INFO | SpringContextShutdownHook | org.eclipse.jetty.server.AbstractConnector : 380 | Stopped ServerConnector@23e9dd78{HTTP/1.1,[http/1.1]}{0.0.0.0:8055}
rht-business |192.168.0.112 |2023-07-12 10:29:43.550 |  INFO | SpringContextShutdownHook | org.eclipse.jetty.server.session.HouseKeeper : 158 | node0 Stopped scavenging
rht-business |192.168.0.112 |2023-07-12 10:29:43.551 |  INFO | SpringContextShutdownHook | org.eclipse.jetty.server.handler.ContextHandler$Context : 2223 | Destroying Spring FrameworkServlet 'dispatcherServlet'
rht-business |192.168.0.112 |2023-07-12 10:29:43.551 |  INFO | SpringContextShutdownHook | org.eclipse.jetty.server.handler.ContextHandler : 1016 | Stopped o.s.b.w.e.j.JettyEmbeddedWebAppContext@14580edc{application,/,[file:///private/var/folders/pc/s9vgbj397r9f9mbm71rc39y40000gn/T/jetty-docbase.7909557153756123332.8055/, jar:file:/Users/muxiaohui/.m2/repository/io/springfox/springfox-swagger-ui/2.9.2/springfox-swagger-ui-2.9.2.jar!/META-INF/resources, jar:file:/Users/muxiaohui/.m2/repository/com/github/xiaoymin/swagger-bootstrap-ui/1.9.1/swagger-bootstrap-ui-1.9.1.jar!/META-INF/resources],UNAVAILABLE}
rht-business |192.168.0.112 |2023-07-12 11:14:48.417 |  WARN | main | com.alibaba.cloud.nacos.client.NacosPropertySourceBuilder : 87 | Ignore the empty nacos configuration and get it based on dataId[rht-business.yaml] & group[DEFAULT_GROUP]
rht-business |192.168.0.112 |2023-07-12 11:14:48.424 |  WARN | main | com.alibaba.cloud.nacos.client.NacosPropertySourceBuilder : 87 | Ignore the empty nacos configuration and get it based on dataId[rht-business-dev.yaml] & group[DEFAULT_GROUP]
rht-business |192.168.0.112 |2023-07-12 11:14:48.425 |  INFO | main | org.springframework.cloud.bootstrap.config.PropertySourceBootstrapConfiguration : 105 | Located property source: [BootstrapPropertySource {name='bootstrapProperties-rht-business-dev.yaml,DEFAULT_GROUP'}, BootstrapPropertySource {name='bootstrapProperties-rht-business.yaml,DEFAULT_GROUP'}, BootstrapPropertySource {name='bootstrapProperties-rht-business,DEFAULT_GROUP'}]
rht-business |192.168.0.112 |2023-07-12 11:14:48.456 |  INFO | main | org.springframework.boot.SpringApplication : 655 | The following profiles are active: dev
rht-business |192.168.0.112 |2023-07-12 11:14:48.903 |  WARN | main | org.springframework.boot.actuate.endpoint.EndpointId : 155 | Endpoint ID 'nacos-config' contains invalid characters, please migrate to a valid format.
rht-business |192.168.0.112 |2023-07-12 11:14:48.905 |  WARN | main | org.springframework.boot.actuate.endpoint.EndpointId : 155 | Endpoint ID 'nacos-discovery' contains invalid characters, please migrate to a valid format.
rht-business |192.168.0.112 |2023-07-12 11:14:49.055 |  INFO | main | org.springframework.data.repository.config.RepositoryConfigurationDelegate : 249 | Multiple Spring Data modules found, entering strict repository configuration mode!
